BSE Code,Q_FY,id_resig_ct,id_unstated_flag,auditor_change_flag,credit_downgrade_ct
500877,Q1FY24,0,0,0,0
500877,Q1FY25,0,0,0,0
500877,Q2FY23,0,0,0,0
500877,Q2FY24,0,0,0,0
500877,Q2FY25,0,0,0,0
500877,Q3FY23,0,0,0,0
500877,Q3FY24,0,0,0,0
500877,Q3FY25,0,0,0,0
500877,Q4FY23,0,0,0,0
500877,Q4FY24,0,0,0,0
500877,Q4FY25,0,0,0,0
503100,Q1FY23,0,0,0,0
503100,Q1FY24,0,0,0,0
503100,Q1FY25,0,0,0,0
503100,Q2FY23,0,0,1,0
503100,Q2FY24,0,0,0,0
503100,Q2FY25,0,0,1,0
503100,Q3FY23,0,0,0,0
503100,Q3FY24,0,0,0,0
503100,Q3FY25,0,0,0,0
503100,Q4FY23,0,0,0,0
503100,Q4FY24,0,0,0,0
503100,Q4FY25,0,0,0,0
503806,Q1FY23,2,0,0,0
503806,Q1FY24,0,0,0,0
503806,Q1FY25,0,0,0,0
503806,Q2FY23,0,0,0,0
503806,Q2FY24,0,0,0,0
503806,Q2FY25,0,0,0,0
503806,Q3FY23,0,0,0,0
503806,Q3FY24,0,0,0,0
503806,Q3FY25,0,0,0,0
503806,Q4FY23,0,0,0,0
503806,Q4FY24,0,0,0,0
503806,Q4FY25,0,0,0,0
504614,Q1FY23,0,0,0,0
504614,Q1FY24,0,0,0,0
504614,Q1FY25,0,0,0,0
504614,Q2FY23,0,0,0,0
504614,Q2FY24,0,0,0,0
504614,Q2FY25,0,0,0,0
504614,Q3FY23,0,0,0,0
504614,Q3FY24,0,0,0,0
504614,Q3FY25,0,0,0,0
504614,Q4FY23,0,0,0,0
504614,Q4FY24,0,0,0,0
504614,Q4FY25,0,0,0,0
506285,Q1FY23,0,0,1,0
506285,Q1FY24,0,0,0,0
506285,Q1FY25,0,0,0,0
506285,Q2FY23,0,0,0,0
506285,Q2FY24,0,0,0,0
506285,Q2FY25,0,0,0,0
506285,Q3FY23,0,0,0,0
506285,Q3FY24,0,0,0,0
506285,Q3FY25,0,0,0,0
506285,Q4FY23,0,0,0,0
506285,Q4FY24,1,0,0,0
506285,Q4FY25,1,0,0,0
506401,Q1FY23,0,0,0,0
506401,Q1FY24,0,0,0,2
506401,Q1FY25,0,0,0,0
506401,Q2FY23,0,0,0,0
506401,Q2FY24,0,0,0,0
506401,Q2FY25,0,0,0,0
506401,Q3FY23,0,0,0,0
506401,Q3FY24,0,0,0,0
506401,Q3FY25,0,0,0,0
506401,Q4FY23,0,0,0,0
506401,Q4FY24,0,0,0,0
506401,Q4FY25,0,0,0,0
506943,Q1FY23,0,0,0,0
506943,Q1FY24,0,0,0,0
506943,Q1FY25,0,0,0,0
506943,Q2FY23,0,0,0,0
506943,Q2FY24,0,0,0,0
506943,Q2FY25,0,0,0,0
506943,Q3FY23,0,0,0,0
506943,Q3FY24,0,0,0,0
506943,Q3FY25,0,0,0,0
506943,Q4FY23,0,0,0,0
506943,Q4FY24,0,0,0,0
506943,Q4FY25,0,0,0,0
509930,Q1FY23,0,0,0,0
509930,Q1FY24,0,0,0,0
