NSE Symbol,Q_FY,FY,Filing_Date,Window_Start,Window_End,n_obs,alpha_daily,alpha_annual,t_alpha,p_alpha,r_squared,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
GRSE,Q4FY23,FY23,2023-07-12,2023-07-13,2024-07-24,252,0.0036776050197323603,1.5263017260966707,1.0122761516590746,0.31240468965994017,0.040544736522075575,1.7633459823605058,3.2646573643222077,0.18782454653342096,6.263116298376317,0.6619509392717211,0.6385997147907903
GRSE,Q4FY24,FY24,2024-07-12,2024-07-15,2025-07-17,252,0.00304827719490724,1.155808555850887,0.6960825792672903,0.48703691825601564,0.03088246245587134,2.012972825399534,-2.225739284457454,-4.388147464814232,-0.8226188385158435,1.820812280669999,-0.03633621914783097
ATGL,Q4FY22,FY22,2022-07-21,2022-07-22,2023-07-28,252,0.00329317279082474,1.2930425112659354,0.9761860689836107,0.32993514240512184,0.18535308447422127,3.8327156462120375,-11.088087403081875,-0.9806937682427066,5.7908582174788386,22.232335607719108,2.659081493927547
ATGL,Q4FY23,FY23,2023-07-21,2023-07-24,2024-08-02,252,-0.0037693277741943573,-0.6132089286697778,-1.2135011881369822,0.22610684554198107,0.02945604404904001,2.951497453524168,-0.4979273100306864,-2.005461833771969,-5.236805613244081,-0.6572431224181432,1.653909264561527
ATGL,Q4FY24,FY24,2024-07-20,2024-07-22,2025-07-23,252,0.0007563302034017692,0.20996957087742404,0.24831459042575085,0.8040990185908429,0.017772828794821782,0.971899503371173,-1.0202868089415542,-3.2302659378849174,-0.3515273767605271,-0.2224201253900748,0.7382360056997826
TECHNOE,Q4FY22,FY22,2022-07-18,2022-07-19,2023-07-25,252,0.0002840425053054745,0.07420269930445274,0.132985322361054,0.8943141489129419,0.048764542402661926,0.2278110140391063,-1.2415764685095578,0.5345030973449956,-0.39576192572931,18.397456405247816,-0.3789696310671292
TECHNOE,Q4FY23,FY23,2023-07-06,2023-07-07,2024-07-18,252,0.0004344381727593811,0.11569599343741606,0.1503341800992976,0.8806246602084337,0.03696369731135285,2.594442791063461,2.3175770842079593,-0.43957898909078047,-0.43960602067643517,-3.987970583751702,2.1910401526750936
TECHNOE,Q4FY24,FY24,2024-07-20,2024-07-22,2025-07-23,252,-0.0014868493826874474,-0.31249490904078114,-0.426125174014657,0.6703907708370958,0.04381845363277581,0.7565901211724295,4.829680511186988,3.5746728505020178,-1.953856261342756,1.3890113783903426,1.1054113078034262
DALBHARAT,Q4FY22,FY22,2022-07-15,2022-07-18,2023-07-24,252,0.001992042061831608,0.6520130912974216,1.1090069782167034,0.26851458577472465,0.024896714533832354,0.7089635620035746,-0.7151691454230595,-0.26513414767376303,1.0622332349772614,-8.725818141267606,-0.033577955660133246
DALBHARAT,Q4FY23,FY23,2023-07-18,2023-07-19,2024-07-30,252,-0.002268088266823601,-0.4353551012662127,-1.2837535812336711,0.20044097536564778,0.010037801965430693,1.0157777128117718,0.5036040765687986,-0.09215412030336285,0.29172647606057445,0.04255251797246895,0.5140319492991058
DALBHARAT,Q4FY24,FY24,2024-07-19,2024-07-22,2025-07-23,252,0.001113621175112081,0.32396700449532717,0.6192408224660254,0.5363331141959203,0.021598505881844088,0.8643728229849024,-0.4077717402070432,-0.9308829992588996,-0.8897151197869119,-0.11595176137956653,-0.28288229016233113
CHALET,Q4FY22,FY22,2022-07-14,2022-07-15,2023-07-21,252,0.0008329883306719233,0.23357080782116704,0.4508091314572899,0.652525832598689,0.008015471418820308,-0.041451931864735836,1.1594246476201777,-0.5007298697440212,-1.4801525422660777,0.6520769282134555,-0.17002750616092027
CHALET,Q4FY23,FY23,2023-07-20,2023-07-21,2024-08-01,252,0.0006449881456695276,0.17649186279346857,0.3324187873492862,0.739857291335418,0.017371218108108266,0.7927592848083946,-0.09787559111089908,-0.15613324206639967,-2.858555636620875,-1.0394577772519054,-0.5462024685991673
CHALET,Q4FY24,FY24,2024-07-19,2024-07-22,2025-07-23,252,0.000985437974675055,0.2818833575620357,0.40499157217084225,0.6858370916947178,0.03785366369981347,0.9513566540024141,0.8953130152947207,-0.7803324409684667,1.4429283336235628,0.5321720016688374,0.4911463464207196
POLYCAB,Q4FY22,FY22,2022-07-15,2022-07-18,2023-07-24,252,-0.0005570048968425892,-0.13095922581336444,-0.3262104506916067,0.744543605976431,0.06315800353336676,1.203372967418573,1.5521150576431957,0.27874308567862577,0.6558625807368743,15.189910792252649,-0.5332989920096431
POLYCAB,Q4FY23,FY23,2023-07-20,2023-07-21,2024-08-01,252,0.0008356450258163083,0.23439694417115522,0.37202603932636125,0.7101950359147012,0.03444047930283867,1.552288248222346,0.13306943832583332,-1.8323129444109367,0.21631698339364025,-1.1973007504281383,1.340002343588971
POLYCAB,Q4FY24,FY24,2024-07-19,2024-07-22,2025-07-23,252,0.0021788244590969226,0.7316310428562776,0.8176610603410461,0.41434521339209734,0.04676868217615915,1.2451689848785845,0.1409862707526781,-1.9339957496015234,-1.1228791789520862,0.6176247971943187,1.0387551149045355
AFFLE,Q4FY22,FY22,2022-07-15,2022-07-18,2023-07-24,252,-0.0010100065898047442,-0.2247127403022001,-0.5653715099044698,0.5723384696776351,0.03553868370425517,1.1058461146779897,1.9888337663444466,-0.6473608232253949,-2.4456967163302226,-9.804695621117858,-0.29519204966817314
AFFLE,Q4FY23,FY23,2023-07-13,2023-07-14,2024-07-25,252,-0.0010784805119301594,-0.23797589429043148,-0.6012059661404608,0.5482586480320031,0.037810922681763115,2.105223596395746,1.0695446180897314,-0.635079832487095,0.25260798441972265,-0.07979828764547392,-0.2655099678465094
AFFLE,Q4FY24,FY24,2024-07-04,2024-07-05,2025-07-09,252,0.003241322929872605,1.2632761292690657,1.2405978843919152,0.2159410272206721,0.03556119171749905,1.0434566759906272,-0.6723462525538293,-4.0041713547572195,-0.20706217146187256,-1.6413577396492895,0.9104458711493134
360ONE,Q4FY22,FY22,2022-07-12,2022-07-13,2023-07-19,252,0.00058866146779597,0.1599103177958659,0.342662568994132,0.7321461274373354,0.01740192564230858,0.3027852984834448,0.27921432108420885,-0.41210248110767184,0.39978190164380256,10.61271090474742,-0.0871994113337303
360ONE,Q4FY23,FY23,2023-07-18,2023-07-19,2024-07-30,252,0.00163032006751029,0.5080850346370774,0.7667326288591508,0.4439786720760845,0.03416190884822512,2.4581542712945432,-0.0805982987834904,-1.1724569329836636,-0.27203088912384765,0.7934880116680025,-0.7453284394272524
360ONE,Q4FY24,FY24,2024-07-20,2024-07-22,2025-07-23,252,-8.422222007640623e-05,-0.021000355384403015,-0.027833651287638685,0.9778174849143513,0.028596964944553105,-0.4856147533524444,4.266355158807295,6.822887195696389,-1.8160149029350663,2.5479767601959162,2.441811108976201
