NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_trading_days,cum_return,cum_mkt_return,mar_log,mar_pct,iar_pct,sar_pct
AKZOINDIA,500710,Specialty Chemicals,Basic Materials,FY25,2024-10-18,2024-10-21,2025-10-28,252,-0.0945055850847589,0.01586350129873997,-0.11501316064958043,-0.10864558697344329,0.0762180757932758,-0.14631256969140702
TATACHEM,500770,Chemicals,Basic Materials,FY25,2024-10-11,2024-10-14,2025-10-20,252,-0.199826800104615,0.004440663216687299,-0.22735790744181228,-0.2033643905525914,-0.32757748836917744,-0.25163378471126313
NESTLEIND,500790,Packaged Foods,Consumer Defensive,FY25,2024-10-17,2024-10-18,2025-10-27,252,0.08405440944504305,0.01984430810732826,0.061058118437618936,0.06296069000657435,0.0970356573714595,0.1711036116402827
TATACONSUM,500800,Packaged Foods,Consumer Defensive,FY25,2024-10-11,2024-10-14,2025-10-20,252,0.013513788611590478,0.004440663216687299,0.008992459198087319,0.009033012827105984,0.02649503653800693,0.10056299080683012
COLPAL,500830,Household & Personal Products,Consumer Defensive,FY25,2024-10-16,2024-10-17,2025-10-24,252,-0.36972583691787736,0.0005681212060113779,-0.4621683346505155,-0.3700837057226684,-0.25824796437444325,-0.2826766347226377
INDHOTEL,500850,Lodging,Consumer Cyclical,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.038340004410844855,0.01586350129873997,0.021884297329193017,0.02212551497653927,0.013973409718777571,0.00311540304831244
CASTROLIND,500870,Oil & Gas Refining & Marketing,Energy,FY25,2024-10-14,2024-10-15,2025-10-21,252,-0.0961896838439263,0.0013549276644787519,-0.10248977844604817,-0.09741262444867006,-0.04128662690648421,-0.02629066636299697
ITC,500875,Tobacco,Consumer Defensive,FY25,2024-10-17,2024-10-18,2025-10-27,252,-0.10626554717824316,0.01984430810732826,-0.1319965571045929,-0.12365598776504583,-0.21618280634108983,-0.019216344983003522
APOLLOTYRE,500877,Auto Parts,Consumer Cyclical,FY25,2024-10-17,2024-10-18,2025-10-27,252,0.04297619632464807,0.01984430810732826,0.022428376907246084,0.02268178390900566,0.030321196220837683,0.007751594962115652
CEATLTD,500878,Auto Parts,Consumer Cyclical,FY25,2024-10-11,2024-10-14,2025-10-20,252,0.3924154298567556,0.004440663216687299,0.3266091258125038,0.3862595182054779,0.3797604297529452,0.3571908284942232
